freq,airpol,nace_r2,unit,geo\TIME_PERIOD	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 
Q,GHG,E,THS_T,EU27_2020	42131.12 s	42559.508 s	41997.74 s	42380.586 s	41120.766 s	41087.734 s	40515.41 s	40959.418 s	40345.482 s	40508.768 s	40085.604 s	40409.568 s	39223.156 s	39359.787 s	38782.503 s	38957.498 s	37821.682 s	37799.226 s	37342.081 s	37750.207 s	37067.275 s	37364.926 s	37079.666 s	37642.96 s	36861.709 s	37297.218 s	36876.373 s	37579.995 s	36994.277 s	37263.393 s	36984.441 s	37690.122 s	36896.828 s	37176.123 s	36750.975 s	37427.158 s	36768.235 s	36863.004 s	36894.677 s	37695.04 s	36816.613 s	35211.99 s	36433.89 s	37072.929 s	35562.246 s	35389.192 s	34978.424 s	35921.362 s	35668.355 s	36127.164 s	35988.615 s	36795.021 s	36548.049 s	36818.893 s	36788.723 s
Q,GHG,E,T_HAB,EU27_2020	0.096 s	0.097 s	0.095 s	0.096 s	0.093 s	0.093 s	0.092 s	0.093 s	0.091 s	0.092 s	0.091 s	0.091 s	0.089 s	0.089 s	0.088 s	0.088 s	0.085 s	0.085 s	0.084 s	0.085 s	0.084 s	0.084 s	0.083 s	0.085 s	0.083 s	0.084 s	0.083 s	0.084 s	0.083 s	0.084 s	0.083 s	0.084 s	0.083 s	0.083 s	0.082 s	0.084 s	0.082 s	0.082 s	0.082 s	0.084 s	0.082 s	0.079 s	0.081 s	0.083 s	0.079 s	0.079 s	0.078 s	0.08 s	0.08 s	0.08 s	0.08 s	0.082 s	0.081 s	0.082 s	0.082 s
Q,GHG,F,PCH_SM,EU27_2020	: 	: 	: 	: 	6.292 s	4.104 s	2.776 s	-0.603 s	-3.458 s	-4.923 s	-4.952 s	-3.927 s	-4.078 s	-1.115 s	-0.556 s	-1.073 s	-0.347 s	-3.19 s	-3.439 s	-2.873 s	-1.302 s	0.714 s	1.444 s	1.956 s	1.116 s	1.953 s	0.182 s	0.659 s	1.994 s	0.145 s	1.43 s	2.234 s	1.513 s	2.089 s	1.087 s	0.987 s	2.048 s	-0.011 s	1.097 s	-0.623 s	-4.543 s	-16.643 s	-4.697 s	1.968 s	7.473 s	26.158 s	8.74 s	3.798 s	-1.037 s	-5.294 s	-6.77 s	-6.882 s	-3.603 s	-3.201 s	-1.587 s
Q,GHG,F,THS_T,EU27_2020	12140.583 s	12988.741 s	12928.534 s	13959.367 s	12904.448 s	13521.763 s	13287.393 s	13875.154 s	12458.248 s	12856.087 s	12629.426 s	13330.312 s	11950.17 s	12712.785 s	12559.2 s	13187.253 s	11908.759 s	12307.2 s	12127.322 s	12808.437 s	11753.67 s	12395.035 s	12302.401 s	13058.942 s	11884.9 s	12637.122 s	12324.764 s	13144.993 s	12121.848 s	12655.445 s	12501.023 s	13438.679 s	12305.275 s	12919.844 s	12636.891 s	13571.298 s	12557.244 s	12918.47 s	12775.522 s	13486.746 s	11986.762 s	10768.426 s	12175.487 s	13752.164 s	12882.508 s	13585.272 s	13239.655 s	14274.447 s	12748.861 s	12866.012 s	12343.364 s	13292.136 s	12289.568 s	12454.163 s	12147.528 s
Q,GHG,F,T_HAB,EU27_2020	0.028 s	0.029 s	0.029 s	0.032 s	0.029 s	0.031 s	0.03 s	0.031 s	0.028 s	0.029 s	0.029 s	0.03 s	0.027 s	0.029 s	0.028 s	0.03 s	0.027 s	0.028 s	0.027 s	0.029 s	0.026 s	0.028 s	0.028 s	0.029 s	0.027 s	0.028 s	0.028 s	0.03 s	0.027 s	0.028 s	0.028 s	0.03 s	0.028 s	0.029 s	0.028 s	0.03 s	0.028 s	0.029 s	0.029 s	0.03 s	0.027 s	0.024 s	0.027 s	0.031 s	0.029 s	0.03 s	0.03 s	0.032 s	0.028 s	0.029 s	0.027 s	0.03 s	0.027 s	0.028 s	0.027 s
Q,GHG,G-U_X_H,PCH_SM,EU27_2020	: 	: 	: 	: 	-4.916 s	-6.621 s	-6.977 s	-6.814 s	-4.206 s	-2.301 s	-0.252 s	1.306 s	1.77 s	2.603 s	1.479 s	-1.572 s	-5.947 s	-8.633 s	-9.005 s	-7.477 s	-3.801 s	-0.167 s	2.947 s	6.516 s	9.001 s	10.897 s	10.098 s	8.027 s	5.301 s	1.669 s	0.019 s	-1.105 s	-1.611 s	-1.399 s	-1.617 s	-1.395 s	-0.976 s	-1.455 s	-0.518 s	-1.155 s	-4.227 s	-13.857 s	-4.964 s	-3.735 s	1.712 s	15.82 s	7.167 s	4.734 s	-0.932 s	-4.856 s	-7.359 s	-7.84 s	-4.222 s	-2.142 s	0.053 s
Q,GHG,G-U_X_H,THS_T,EU27_2020	70574.308 s	71988.893 s	70974.847 s	72304.407 s	67104.986 s	67222.196 s	66022.757 s	67377.776 s	64282.695 s	65675.454 s	65856.464 s	68257.887 s	65420.264 s	67384.994 s	66830.744 s	67184.672 s	61529.98 s	61567.313 s	60812.686 s	62161.582 s	59191.063 s	61464.355 s	62604.761 s	66212.218 s	64518.796 s	68162.167 s	68926.537 s	71527.36 s	67938.983 s	69299.918 s	68939.522 s	70737.022 s	66844.373 s	68330.333 s	67824.68 s	69750.335 s	66191.964 s	67335.849 s	67473.129 s	68944.492 s	63393.948 s	58005.238 s	64124.086 s	66369.498 s	64479.415 s	67181.634 s	68719.705 s	69511.296 s	63878.699 s	63919.33 s	63662.451 s	64061.909 s	61181.928 s	62550.416 s	63696.399 s
Q,GHG,G-U_X_H,T_HAB,EU27_2020	0.16 s	0.163 s	0.161 s	0.164 s	0.152 s	0.152 s	0.149 s	0.152 s	0.145 s	0.149 s	0.149 s	0.154 s	0.148 s	0.152 s	0.151 s	0.152 s	0.139 s	0.139 s	0.137 s	0.14 s	0.133 s	0.138 s	0.141 s	0.149 s	0.145 s	0.153 s	0.155 s	0.161 s	0.152 s	0.155 s	0.155 s	0.159 s	0.15 s	0.153 s	0.152 s	0.156 s	0.148 s	0.15 s	0.151 s	0.154 s	0.141 s	0.129 s	0.143 s	0.148 s	0.144 s	0.15 s	0.153 s	0.155 s	0.143 s	0.142 s	0.142 s	0.142 s	0.136 s	0.139 s	0.141 s
Q,GHG,H,PCH_SM,EU27_2020	: 	: 	: 	: 	-1.982 s	-2.006 s	-2.185 s	-1.774 s	-0.536 s	-1.141 s	-3.796 s	-2.807 s	-4.153 s	-1.922 s	-1.892 s	-3.652 s	-2.543 s	-4.322 s	-2.207 s	0.863 s	4.948 s	7.148 s	4.927 s	4.51 s	0.257 s	-3.305 s	-1.159 s	-2.55 s	3.86 s	8.583 s	8.572 s	9.491 s	4.487 s	3.738 s	2.344 s	2.23 s	-0.343 s	1.606 s	3.584 s	-1.917 s	-8.161 s	-38.211 s	-24.698 s	-22.456 s	-17.747 s	28.237 s	17.204 s	16.749 s	15.252 s	14.459 s	3.785 s	2.114 s	3.728 s	-0.045 s	-2.198 s
Q,GHG,H,THS_T,EU27_2020	109169.657 s	113491.059 s	117450.949 s	112676.822 s	107005.687 s	111214.386 s	114884.703 s	110677.626 s	106431.847 s	109945.797 s	110523.527 s	107570.653 s	102012.167 s	107832.104 s	108432.11 s	103641.958 s	99417.734 s	103172.059 s	106038.487 s	104536.84 s	104337.211 s	110546.612 s	111263.346 s	109251.225 s	104605.39 s	106892.814 s	109973.98 s	106464.83 s	108642.646 s	116067.134 s	119401.028 s	116569.348 s	113517.937 s	120405.707 s	122199.413 s	119169.362 s	113128.788 s	122339.201 s	126578.739 s	116884.81 s	103896.304 s	75592.142 s	95316.913 s	90637.001 s	85458.264 s	96937.471 s	111714.99 s	105818.19 s	98492.094 s	110953.681 s	115943.113 s	108055.29 s	102164.323 s	110904.235 s	113394.659 s
Q,GHG,H,T_HAB,EU27_2020	0.248 s	0.257 s	0.266 s	0.255 s	0.243 s	0.252 s	0.26 s	0.25 s	0.241 s	0.249 s	0.25 s	0.243 s	0.231 s	0.244 s	0.245 s	0.234 s	0.224 s	0.233 s	0.239 s	0.236 s	0.235 s	0.249 s	0.25 s	0.246 s	0.235 s	0.24 s	0.247 s	0.239 s	0.244 s	0.26 s	0.268 s	0.261 s	0.254 s	0.27 s	0.273 s	0.266 s	0.253 s	0.273 s	0.283 s	0.261 s	0.232 s	0.169 s	0.213 s	0.202 s	0.191 s	0.216 s	0.249 s	0.236 s	0.22 s	0.247 s	0.258 s	0.24 s	0.227 s	0.246 s	0.251 s
Q,GHG,HH,PCH_SM,EU27_2020	: 	: 	: 	: 	-1.122 s	-10.7 s	-4.296 s	-10.128 s	-1.194 s	6.905 s	-2.234 s	-3.024 s	-0.429 s	2.083 s	0.625 s	-1.668 s	-11.545 s	-6.14 s	0.505 s	-2.497 s	6.819 s	3.672 s	3.216 s	-0.895 s	-1.396 s	-0.331 s	-3.627 s	9.147 s	0.703 s	-0.547 s	3.731 s	-3.653 s	5.985 s	-9.317 s	-3.897 s	-2.022 s	-7.95 s	13.076 s	1.599 s	-1.856 s	-3.484 s	-22.58 s	-8.913 s	-5.077 s	-3.712 s	23.273 s	3.863 s	3.065 s	0.169 s	-5.702 s	-0.026 s	-6.612 s	-0.921 s	1.254 s	-6.462 s
Q,GHG,HH,THS_T,EU27_2020	286211.752 s	172797.4 s	139244.087 s	268003.875 s	283000.279 s	154308.33 s	133262.216 s	240860.189 s	279620.81 s	164963.314 s	130284.508 s	233577.57 s	278419.932 s	168398.721 s	131098.481 s	229681.658 s	246276.875 s	158058.705 s	131760.688 s	223947.574 s	263069.712 s	163863.173 s	135997.697 s	221944.083 s	259396.669 s	163320.494 s	131065.078 s	242244.217 s	261219.723 s	162427.862 s	135955.672 s	233395.583 s	276853.846 s	147294.9 s	130658.008 s	228676.574 s	254844.476 s	166554.966 s	132747.097 s	224432.406 s	245965.494 s	128946.315 s	120915.085 s	213036.947 s	236835.1 s	158955.369 s	125586.018 s	219566.34 s	237236.509 s	149892.305 s	125553.715 s	205047.923 s	235050.575 s	151771.363 s	117440.97 s
Q,GHG,HH,T_HAB,EU27_2020	0.649 s	0.392 s	0.316 s	0.607 s	0.641 s	0.35 s	0.302 s	0.545 s	0.633 s	0.373 s	0.295 s	0.528 s	0.629 s	0.381 s	0.296 s	0.519 s	0.556 s	0.357 s	0.297 s	0.505 s	0.593 s	0.369 s	0.306 s	0.499 s	0.583 s	0.367 s	0.294 s	0.544 s	0.586 s	0.364 s	0.305 s	0.523 s	0.62 s	0.33 s	0.292 s	0.511 s	0.57 s	0.372 s	0.296 s	0.501 s	0.549 s	0.288 s	0.27 s	0.475 s	0.529 s	0.355 s	0.28 s	0.49 s	0.53 s	0.334 s	0.279 s	0.456 s	0.522 s	0.337 s	0.26 s
Q,GHG,TOTAL_HH,PCH_SM,AT	: 	: 	: 	: 	1.359 s	-1.052 s	-4.805 s	-7.579 s	-4.748 s	-6.47 s	-4.39 s	-3.012 s	-2.804 s	-0.809 s	-1.103 s	-3.385 s	-7.988 s	-3.411 s	-3.006 s	-3.328 s	3.899 s	-0.038 s	1.045 s	2.037 s	-1.083 s	0.087 s	-3.448 s	3.222 s	7.762 s	4.084 s	6.94 s	-1.268 s	-4.075 s	-6.119 s	-5.763 s	-1.874 s	-2.72 s	9.956 s	10.259 s	2.765 s	1.676 s	-21.361 s	-7.865 s	-5.733 s	-4.11 s	23.254 s	6.002 s	6.109 s	1.79 s	-4.155 s	-9.519 s	-11.272 s	-7.363 s	-4.405 s	-6.023 s
Q,GHG,TOTAL_HH,PCH_SM,BE	: 	: 	: 	: 	-7.015 s	-7.926 s	-3.462 s	-10.457 s	-3.141 s	-0.777 s	-3.821 s	-2.358 s	1.863 s	2.064 s	-4.818 s	-1.605 s	-9.773 s	-7.805 s	0.8 s	-0.627 s	6.33 s	3.169 s	3.447 s	-0.796 s	-2.888 s	-1.3 s	-4.464 s	6.291 s	1.496 s	1.315 s	-0.21 s	-3.178 s	1.518 s	-3.228 s	2.88 s	2.421 s	-2.879 s	4.83 s	0.088 s	-2.765 s	-4.484 s	-18.349 s	-6.833 s	-9.212 s	-1.967 s	16.417 s	-5.1 s	0.841 s	-4.665 s	-8.697 s	1.902 s	-5.793 s	-1.456 s	-1.764 s	-8.49 s
Q,GHG,TOTAL_HH,PCH_SM,BG	: 	: 	: 	: 	8.107 s	15.587 s	4.404 s	8.018 s	2.303 s	-9.763 s	-6.245 s	-15.855 s	-18.706 s	-18.525 s	-6.009 s	7.743 s	9.399 s	16.225 s	3.666 s	-2.619 s	1.831 s	6.095 s	10.509 s	2.79 s	-5.678 s	-7.513 s	-7.652 s	4.349 s	11.026 s	12.625 s	3.168 s	-9.447 s	-11.037 s	-12.819 s	-6.344 s	1.077 s	3.655 s	0.681 s	-3.454 s	-9.473 s	-10.931 s	-15.371 s	-10.448 s	-8.117 s	-2.257 s	16.317 s	17.661 s	20.021 s	26.164 s	9.859 s	-2.651 s	-6.371 s	-17.278 s	-25.565 s	-18.574 s
Q,GHG,TOTAL_HH,PCH_SM,CY	: 	: 	: 	: 	-1.957 s	-1.785 s	-12.109 s	-4.241 s	-6.228 s	-10.053 s	-0.175 s	-11.3 s	-16.965 s	-7.198 s	-10.58 s	-0.055 s	4.807 s	3.083 s	5.403 s	0.765 s	-0.826 s	-2.989 s	-0.768 s	-0.799 s	4.127 s	6.656 s	6.065 s	6.51 s	10.437 s	1.547 s	1.16 s	-0.144 s	-5.643 s	4.978 s	0.034 s	0.191 s	0.787 s	-4.976 s	0.549 s	-2.611 s	-0.072 s	-17.229 s	-0.324 s	1.865 s	-5.161 s	16.325 s	0.615 s	-2.303 s	9.226 s	0.051 s	-2.991 s	-1.34 s	-6.769 s	1.873 s	3.673 s
Q,GHG,TOTAL_HH,PCH_SM,CZ	: 	: 	: 	: 	-3.597 s	-0.44 s	-1.379 s	-3.195 s	1.024 s	-0.41 s	-7.803 s	-5.917 s	-5.175 s	-6.293 s	-1.602 s	-1.813 s	-2.784 s	-0.288 s	-1.006 s	-1.313 s	-0.142 s	-0.736 s	1.18 s	0.438 s	0.365 s	0.351 s	1.897 s	5.408 s	2.846 s	-0.915 s	-3.004 s	-3.789 s	-0.517 s	-3.478 s	4.069 s	1.377 s	-4.518 s	-1.126 s	-5.904 s	-8.1 s	-7.424 s	-15.692 s	-10.774 s	-3.84 s	0.807 s	11.51 s	6.325 s	6.524 s	0.675 s	0.342 s	1.181 s	-6.804 s	-7.296 s	-9.037 s	-9.926 s
Q,GHG,TOTAL_HH,PCH_SM,DE	: 	: 	: 	: 	-1.305 s	-4.205 s	-1.05 s	-4.978 s	1.776 s	1.868 s	0.248 s	0.81 s	3.036 s	2.3 s	3.114 s	-0.803 s	-7.542 s	-6 s	-5.335 s	-2.627 s	1.45 s	0.221 s	4.2 s	0.122 s	-0.14 s	1.943 s	-4.157 s	0.65 s	1.806 s	-1.401 s	-0.125 s	-5.462 s	-3.89 s	-5.741 s	-1.328 s	-0.444 s	-6.745 s	-3.587 s	-9.213 s	-6.48 s	-8.969 s	-20.451 s	-8.997 s	-4.403 s	-1.034 s	16.965 s	3.378 s	1.576 s	0.587 s	-0.838 s	0.355 s	-5.604 s	-2.426 s	-7.114 s	-12.23 s
Q,GHG,TOTAL_HH,PCH_SM,DK	: 	: 	: 	: 	1.749 s	1.683 s	-1.608 s	-6.031 s	-6.74 s	-7.094 s	-8.765 s	-4.854 s	-1.307 s	0.6 s	0.252 s	-5.73 s	-10.868 s	-9.464 s	-2.475 s	-3.4 s	1.23 s	3.403 s	-5.037 s	0.464 s	4.499 s	-0.099 s	6.26 s	3.688 s	-1.743 s	1.889 s	0.336 s	-0.087 s	2.961 s	2.276 s	2.519 s	2.943 s	-3.21 s	-0.738 s	-3.947 s	-6.957 s	-9.132 s	-17.161 s	-10.859 s	-9.763 s	-0.727 s	12.924 s	8.979 s	5.412 s	-4.173 s	-3.838 s	-5.474 s	-6.256 s	-2.943 s	-6.796 s	-7.896 s
