Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2030
1.A.3.b. Road transportation,WEM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.A.3.b. Road transportation,WEM,Total,22960.13152,23317.59555,23675.05959,24032.52363,24389.98766,23920.30249,23450.61731,22980.93214,22511.24696,22041.56179,21939.778854852,21884.5437573863,21782.5433174746,21680.5428775629,21578.5424293158,21477.2775243967,21376.0126111422,21274.7476978877,21173.4827929685,21072.217879714,20970.9529720164,20869.6880629295,20768.4231538427,20667.1582447558,20565.893335669,20464.6284265821,20363.3635174953,20262.0986084085,20160.8336993216,20059.5687902348,22960.1315175833,24389.9876648493,22041.5617895754
1.A.3.c. Railways,WAM,ESR,72.62443,76.26053,79.89662,83.53272,87.16881,90.8551,94.54139,98.22767,101.91396,105.60025,105.63562953,105.67031906,105.70500859,105.739698119999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,72.6244330413899,87.1688140569689,105.600246999526
1.A.3.c. Railways,WAM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.A.3.c. Railways,WAM,Total,72.62443,76.26053,79.89662,83.53272,87.16881,90.8551,94.54139,98.22767,101.91396,105.60025,105.63562953,105.67031906,105.70500859,105.739698119999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,72.6244330413899,87.1688140569689,105.600246999526
1.A.3.c. Railways,WEM,ESR,72.62443,74.46574,76.30704,78.14834,79.98964,81.85538,83.72113,85.58687,87.45261,89.31835,89.5584959126575,89.7996719061194,90.0408478187769,90.2820237314344,90.5231997248963,90.7400393089332,90.9568789737745,91.1737185578115,91.3905581418484,91.6073978066897,91.8242374176613,92.0410770421005,92.2579166665396,92.4747562909787,92.6915959154178,92.9084355398569,93.1252751642961,93.3421147887352,93.5589544131743,93.7757940376134,72.6244330413899,79.9896443254678,89.3183476006681
1.A.3.c. Railways,WEM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.A.3.c. Railways,WEM,Total,72.62443,74.46574,76.30704,78.14834,79.98964,81.85538,83.72113,85.58687,87.45261,89.31835,89.5584959126575,89.7996719061194,90.0408478187769,90.2820237314344,90.5231997248963,90.7400393089332,90.9568789737745,91.1737185578115,91.3905581418484,91.6073978066897,91.8242374176613,92.0410770421005,92.2579166665396,92.4747562909787,92.6915959154178,92.9084355398569,93.1252751642961,93.3421147887352,93.5589544131743,93.7757940376134,72.6244330413899,79.9896443254678,89.3183476006681
1.A.3.d. Domestic navigation,WAM,ESR,392.29183,414.59879,436.90576,459.21273,481.51969,491.00706,500.49444,509.98181,519.46918,528.95655,528.964268228601,528.971366457202,528.978464685803,528.985562914404,528.992661143004,528.992661143004,528.992661143004,528.992661143004,528.992661143004,528.992661143004,528.992661143005,528.992661143005,528.992661143005,528.992661143005,528.992661143005,528.992661143005,528.992661143005,528.992661143005,528.992661143005,528.992661143005,392.291825039323,481.519692771411,528.956551459729
1.A.3.d. Domestic navigation,WAM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.A.3.d. Domestic navigation,WAM,Total,392.29183,414.59879,436.90576,459.21273,481.51969,491.00706,500.49444,509.98181,519.46918,528.95655,528.964268228601,528.971366457202,528.978464685803,528.985562914404,528.992661143004,528.992661143004,528.992661143004,528.992661143004,528.992661143004,528.992661143004,528.992661143005,528.992661143005,528.992661143005,528.992661143005,528.992661143005,528.992661143005,528.992661143005,528.992661143005,528.992661143005,528.992661143005,392.291825039323,481.519692771411,528.956551459729
1.A.3.d. Domestic navigation,WEM,ESR,392.29183,410.5975,428.90317,447.20884,465.51451,473.10261,480.69071,488.27881,495.86691,503.45501,503.668831932616,503.881553865231,504.094275797847,504.306997730463,504.519719663079,504.729509199062,504.939298735045,505.14908819855,505.358877734533,505.568667270516,505.778456806499,505.988246342482,506.198035878465,506.407825414448,506.617614950431,506.827404486414,507.037194022397,507.24698355838,507.456773094363,507.666562630347,392.291825039323,465.514510118099,503.455008331652
1.A.3.d. Domestic navigation,WEM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.A.3.d. Domestic navigation,WEM,Total,392.29183,410.5975,428.90317,447.20884,465.51451,473.10261,480.69071,488.27881,495.86691,503.45501,503.668831932616,503.881553865231,504.094275797847,504.306997730463,504.519719663079,504.729509199062,504.939298735045,505.14908819855,505.358877734533,505.568667270516,505.778456806499,505.988246342482,506.198035878465,506.407825414448,506.617614950431,506.827404486414,507.037194022397,507.24698355838,507.456773094363,507.666562630347,392.291825039323,465.514510118099,503.455008331652
1.A.3.e. Other transportation,WAM,ESR,328.11463,338.23979,348.36495,358.49011,368.61527,373.53507,378.45488,383.37468,388.29448,393.21428,393.213539676408,393.213530900137,393.213522123866,393.213513347595,393.213504571323,393.213499122202,393.21349367308,393.213488223959,393.213482774837,393.213477325715,393.213471876594,393.213466427472,393.213460978351,393.213455529229,393.213450080108,393.213444630986,393.213439181865,393.213433732743,393.213428283622,393.2134228345,328.114633566241,368.615272955363,393.214279468315
1.A.3.e. Other transportation,WAM,ETS,97.21132,111.67007,126.12882,140.58756,155.04631,155.04631,155.04631,155.04631,155.04631,155.04631,155.046018086794,155.046014626267,155.046011165741,155.046007705214,155.046004244688,155.046002096073,155.045999947457,155.045997798842,155.045995650227,155.045993501612,155.045991352996,155.045989204381,155.045987055766,155.045984907151,155.045982758535,155.04598060992,155.045978461305,155.04597631269,155.045974164074,155.045972015459,97.21132255076,155.046308400253,155.046308400253
1.A.3.e. Other transportation,WAM,Total,425.32596,449.90986,474.49377,499.07768,523.66158,528.58138,533.50118,538.42099,543.34079,548.26059,548.259557763202,548.259545526404,548.259533289607,548.259521052809,548.259508816011,548.259501218274,548.259493620537,548.259486022801,548.259478425064,548.259470827327,548.25946322959,548.259455631853,548.259448034117,548.25944043638,548.259432838643,548.259425240906,548.25941764317,548.259410045433,548.259402447696,548.259394849959,425.325956117001,523.661581355616,548.260587868569
1.A.3.e. Other transportation,WEM,ESR,328.11463,338.23964,348.36465,358.48966,368.61467,373.53447,378.45428,383.37408,388.29388,393.21368,393.286207595962,393.35946673893,393.432725881897,393.505985024864,393.579244167832,393.655137923532,393.731031679232,393.806925434932,393.882819190633,393.958712946333,394.034606702033,394.110500457734,394.186394213434,394.262287969134,394.338181724834,394.414075480535,394.489969236235,394.565862991935,394.641756747636,394.717650503336,328.114633566241,368.614672955363,393.213679468315
1.A.3.e. Other transportation,WEM,ETS,97.21132,111.67007,126.12882,140.58756,155.04631,155.04631,155.04631,155.04631,155.04631,155.04631,155.074908028754,155.103794510503,155.132680992252,155.161567474002,155.190453955751,155.220379279746,155.250304603741,155.280229927737,155.310155251732,155.340080575727,155.370005899722,155.399931223718,155.429856547713,155.459781871708,155.489707195703,155.519632519699,155.549557843694,155.579483167689,155.609408491685,155.63933381568,97.21132255076,155.046308400253,155.046308400253
1.A.3.e. Other transportation,WEM,Total,425.32596,449.90971,474.49347,499.07723,523.66098,528.58078,533.50058,538.42039,543.34019,548.25999,548.361115624717,548.463261249433,548.565406874149,548.667552498866,548.769698123582,548.875517203278,548.981336282974,549.087155362669,549.192974442365,549.29879352206,549.404612601756,549.510431681451,549.616250761147,549.722069840842,549.827888920538,549.933708000234,550.039527079929,550.145346159625,550.25116523932,550.356984319016,425.325956117001,523.660981355616,548.259987868569
