Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1.A.3.a. Domestic aviation,WEM,ESR,13.4,17.3,21.2,25.1,29.0,29.34,29.68,30.02,30.36,30.7,29.0,27.3,25.6,23.9,22.2,22.52,22.84,23.16,23.48,23.8,23.06,22.32,21.58,20.84,20.1,52.34,84.58,116.82,149.06,181.3,13.3856398228227,28.9868322608604,,,,,30.6585390205782,,,,,22.2281629883164,,,,,23.7659108090597,,,,,20.1282437148629,,,,,181.341561289334
1.A.3.a. Domestic aviation,WEM,Total,1716.7,1969.85,2223.0,2476.15,2729.3,2760.78,2792.26,2823.74,2855.22,2886.7,2727.96,2569.22,2410.48,2251.74,2093.0,2121.94,2150.88,2179.82,2208.76,2237.7,2169.2,2100.7,2032.2,1963.7,1895.2,1939.7,1984.2,2028.7,2073.2,2117.7,1716.74056840935,2729.33844952585,,,,,2886.74280108001,,,,,2092.9565314474,,,,,2237.74759433621,,,,,1895.2326007206,,,,,2117.71343870001
1.A.3.b. Road transportation,WAM,ESR,95988.4,94240.75,92493.1,90745.45,88997.8,87902.18,86806.56,85710.94,84615.32,83519.7,82451.78,81383.86,80315.94,79248.02,78180.1,78134.66,78089.22,78043.78,77998.34,77952.9,77776.38,77599.86,77423.34,77246.82,77070.3,76306.22,75542.14,74778.06,74013.98,73249.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.b. Road transportation,WAM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.b. Road transportation,WAM,Total,95988.4,94240.75,92493.1,90745.45,88997.8,87902.18,86806.56,85710.94,84615.32,83519.7,82451.78,81383.86,80315.94,79248.02,78180.1,78134.66,78089.22,78043.78,77998.34,77952.9,77776.38,77599.86,77423.34,77246.82,77070.3,76306.22,75542.14,74778.06,74013.98,73249.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.b. Road transportation,WEM,ESR,95988.4,94240.75,92493.1,90745.45,88997.8,87902.18,86806.56,85710.94,84615.32,83519.7,82451.78,81383.86,80315.94,79248.02,78180.1,78134.66,78089.22,78043.78,77998.34,77952.9,77776.38,77599.86,77423.34,77246.82,77070.3,76306.22,75542.14,74778.06,74013.98,73249.9,95988.4313644549,88997.7519402408,,,,,83519.6732733249,,,,,78180.1007799318,,,,,77952.8660222368,,,,,77070.2602512066,,,,,73249.8740335575
1.A.3.b. Road transportation,WEM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
1.A.3.b. Road transportation,WEM,Total,95988.4,94240.75,92493.1,90745.45,88997.8,87902.18,86806.56,85710.94,84615.32,83519.7,82451.78,81383.86,80315.94,79248.02,78180.1,78134.66,78089.22,78043.78,77998.34,77952.9,77776.38,77599.86,77423.34,77246.82,77070.3,76306.22,75542.14,74778.06,74013.98,73249.9,95988.4313644549,88997.7519402408,,,,,83519.6732733249,,,,,78180.1007799318,,,,,77952.8660222368,,,,,77070.2602512066,,,,,73249.8740335575
1.A.3.c. Railways,WAM,ESR,130.2,129.725,129.25,128.775,128.3,130.6,132.9,135.2,137.5,139.8,139.64,139.48,139.32,139.16,139.0,138.98,138.96,138.94,138.92,138.9,137.16,135.42,133.68,131.94,130.2,129.94,129.68,129.42,129.16,128.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.c. Railways,WAM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.c. Railways,WAM,Total,130.2,129.725,129.25,128.775,128.3,130.6,132.9,135.2,137.5,139.8,139.64,139.48,139.32,139.16,139.0,138.98,138.96,138.94,138.92,138.9,137.16,135.42,133.68,131.94,130.2,129.94,129.68,129.42,129.16,128.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.c. Railways,WEM,ESR,130.2,129.725,129.25,128.775,128.3,130.6,132.9,135.2,137.5,139.8,139.64,139.48,139.32,139.16,139.0,138.98,138.96,138.94,138.92,138.9,137.16,135.42,133.68,131.94,130.2,129.94,129.68,129.42,129.16,128.9,130.195301724919,128.296205334877,,,,,139.774411052781,,,,,138.99085220359,,,,,138.90807787185,,,,,130.232631741665,,,,,128.912578463692
1.A.3.c. Railways,WEM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
1.A.3.c. Railways,WEM,Total,130.2,129.725,129.25,128.775,128.3,130.6,132.9,135.2,137.5,139.8,139.64,139.48,139.32,139.16,139.0,138.98,138.96,138.94,138.92,138.9,137.16,135.42,133.68,131.94,130.2,129.94,129.68,129.42,129.16,128.9,130.195301724919,128.296205334877,,,,,139.774411052781,,,,,138.99085220359,,,,,138.90807787185,,,,,130.232631741665,,,,,128.912578463692
1.A.3.d. Domestic navigation,WAM,ESR,4580.7,4821.425,5062.15,5302.875,5543.6,5524.12,5504.64,5485.16,5465.68,5446.2,5245.4,5044.6,4843.8,4643.0,4442.2,4391.62,4341.04,4290.46,4239.88,4189.3,4162.98,4136.66,4110.34,4084.02,4057.7,3903.48,3749.26,3595.04,3440.82,3286.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.d. Domestic navigation,WAM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.d. Domestic navigation,WAM,Total,4580.7,4821.425,5062.15,5302.875,5543.6,5524.12,5504.64,5485.16,5465.68,5446.2,5245.4,5044.6,4843.8,4643.0,4442.2,4391.62,4341.04,4290.46,4239.88,4189.3,4162.98,4136.66,4110.34,4084.02,4057.7,3903.48,3749.26,3595.04,3440.82,3286.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.d. Domestic navigation,WEM,ESR,4580.7,4821.425,5062.15,5302.875,5543.6,5524.12,5504.64,5485.16,5465.68,5446.2,5245.4,5044.6,4843.8,4643.0,4442.2,4391.62,4341.04,4290.46,4239.88,4189.3,4162.98,4136.66,4110.34,4084.02,4057.7,3903.48,3749.26,3595.04,3440.82,3286.6,4580.67370792657,5543.6183085199,,,,,5446.18350601045,,,,,4442.22100996189,,,,,4189.3352466023,,,,,4057.73761914658,,,,,3286.64829513766
1.A.3.d. Domestic navigation,WEM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
1.A.3.d. Domestic navigation,WEM,Total,4580.7,4821.425,5062.15,5302.875,5543.6,5524.12,5504.64,5485.16,5465.68,5446.2,5245.4,5044.6,4843.8,4643.0,4442.2,4391.62,4341.04,4290.46,4239.88,4189.3,4162.98,4136.66,4110.34,4084.02,4057.7,3903.48,3749.26,3595.04,3440.82,3286.6,4580.67370792657,5543.6183085199,,,,,5446.18350601045,,,,,4442.22100996189,,,,,4189.3352466023,,,,,4057.73761914658,,,,,3286.64829513766
1.A.3.e. Other transportation,WAM,ESR,160.7,131.1,101.5,71.9,42.3,38.72,35.14,31.56,27.98,24.4,27.92,31.44,34.96,38.48,42.0,44.52,47.04,49.56,52.08,54.6,57.94,61.28,64.62,67.96,71.3,71.5,71.7,71.9,72.1,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.e. Other transportation,WAM,ETS,703.1,643.625,584.15,524.675,465.2,455.32,445.44,435.56,425.68,415.8,409.52,403.24,396.96,390.68,384.4,384.98,385.56,386.14,386.72,387.3,388.5,389.7,390.9,392.1,393.3,391.2,389.1,387.0,384.9,382.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.e. Other transportation,WAM,Total,863.8,774.725,685.65,596.575,507.5,494.04,480.58,467.12,453.66,440.2,437.44,434.68,431.92,429.16,426.4,429.5,432.6,435.7,438.8,441.9,446.42,450.94,455.46,459.98,464.5,462.62,460.74,458.86,456.98,455.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.e. Other transportation,WEM,ESR,160.7,131.1,101.5,71.9,42.3,38.72,35.14,31.56,27.98,24.4,27.92,31.44,34.96,38.48,42.0,44.52,47.04,49.56,52.08,54.6,57.94,61.28,64.62,67.96,71.3,71.5,71.7,71.9,72.1,72.3,160.677202681257,42.3389353111572,,,,,24.3903368845031,,,,,42.0482941487298,,,,,54.6384294764746,,,,,71.2657205118659,,,,,72.346800979315
1.A.3.e. Other transportation,WEM,ETS,703.1,643.625,584.15,524.675,465.2,455.32,445.44,435.56,425.68,415.8,409.52,403.24,396.96,390.68,384.4,384.98,385.56,386.14,386.72,387.3,388.5,389.7,390.9,392.1,393.3,391.2,389.1,387.0,384.9,382.8,703.093675680184,465.15084,,,,,415.784523,,,,,384.380577,,,,,387.254679,,,,,393.26784,,,,,382.786929
1.A.3.e. Other transportation,WEM,Total,863.8,774.725,685.65,596.575,507.5,494.04,480.58,467.12,453.66,440.2,437.44,434.68,431.92,429.16,426.4,429.5,432.6,435.7,438.8,441.9,446.42,450.94,455.46,459.98,464.5,462.62,460.74,458.86,456.98,455.1,863.770878361441,507.489775311157,,,,,440.174859884503,,,,,426.42887114873,,,,,441.893108476475,,,,,464.533560511866,,,,,455.133729979315
1.A.4. Other sectors,WAM,ESR,82726.3,80221.85,77717.4,75212.95,72708.5,72126.7,71544.9,70963.1,70381.3,69799.5,68788.46,67777.42,66766.38,65755.34,64744.3,64449.32,64154.34,63859.36,63564.38,63269.4,63060.42,62851.44,62642.46,62433.48,62224.5,61640.72,61056.94,60473.16,59889.38,59305.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.4. Other sectors,WAM,ETS,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,515.68,511.76,507.84,503.92,500.0,440.0,380.0,320.0,260.0,200.0,200.0,200.0,200.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.4. Other sectors,WAM,Total,83245.9,80741.475,78237.05,75732.625,73228.2,72646.4,72064.6,71482.8,70901.0,70319.2,69308.14,68297.08,67286.02,66274.96,65263.9,64965.0,64666.1,64367.2,64068.3,63769.4,63500.42,63231.44,62962.46,62693.48,62424.5,61840.72,61256.94,60673.16,60089.38,59505.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.4. Other sectors,WEM,ESR,82726.3,80221.85,77717.4,75212.95,72708.5,72126.7,71544.9,70963.1,70381.3,69799.5,68788.46,67777.42,66766.38,65755.34,64744.3,64449.32,64154.34,63859.36,63564.38,63269.4,63060.42,62851.44,62642.46,62433.48,62224.5,61640.72,61056.94,60473.16,59889.38,59305.6,82726.2986628042,72708.5413292327,,,,,69799.5464378203,,,,,64744.2667577314,,,,,63269.395936871,,,,,62224.4589466072,,,,,59305.5580219118
1.A.4. Other sectors,WEM,ETS,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,519.6,515.68,511.76,507.84,503.92,500.0,440.0,380.0,320.0,260.0,200.0,200.0,200.0,200.0,200.0,200.0,519.634114549555,519.63,,,,,519.63,,,,,519.63,,,,,500.0,,,,,200.0,,,,,200.0
1.A.4. Other sectors,WEM,Total,83245.9,80741.475,78237.05,75732.625,73228.2,72646.4,72064.6,71482.8,70901.0,70319.2,69308.14,68297.08,67286.02,66274.96,65263.9,64965.0,64666.1,64367.2,64068.3,63769.4,63500.42,63231.44,62962.46,62693.48,62424.5,61840.72,61256.94,60673.16,60089.38,59505.6,83245.9327773538,73228.1713292327,,,,,70319.1764378203,,,,,65263.8967577314,,,,,63769.395936871,,,,,62424.4589466072,,,,,59505.5580219118
1.A.5. Other,WAM,ESR,307.1,307.45,307.8,308.15,308.5,298.3,288.1,277.9,267.7,257.5,252.38,247.26,242.14,237.02,231.9,226.8,221.7,216.6,211.5,206.4,204.36,202.32,200.28,198.24,196.2,194.16,192.12,190.08,188.04,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.5. Other,WAM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.5. Other,WAM,Total,307.1,307.45,307.8,308.15,308.5,298.3,288.1,277.9,267.7,257.5,252.38,247.26,242.14,237.02,231.9,226.8,221.7,216.6,211.5,206.4,204.36,202.32,200.28,198.24,196.2,194.16,192.12,190.08,188.04,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.5. Other,WEM,ESR,307.1,307.45,307.8,308.15,308.5,298.3,288.1,277.9,267.7,257.5,252.38,247.26,242.14,237.02,231.9,226.8,221.7,216.6,211.5,206.4,204.36,202.32,200.28,198.24,196.2,194.16,192.12,190.08,188.04,186.0,307.065221656482,308.511489518715,,,,,257.463366008733,,,,,231.939304253742,,,,,206.415242498751,,,,,196.205617796755,,,,,185.995993094759
1.A.5. Other,WEM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0
1.A.5. Other,WEM,Total,307.1,307.45,307.8,308.15,308.5,298.3,288.1,277.9,267.7,257.5,252.38,247.26,242.14,237.02,231.9,226.8,221.7,216.6,211.5,206.4,204.36,202.32,200.28,198.24,196.2,194.16,192.12,190.08,188.04,186.0,307.065221656482,308.511489518715,,,,,257.463366008733,,,,,231.939304253742,,,,,206.415242498751,,,,,196.205617796755,,,,,185.995993094759
1.B. Fugitive emissions from fuels,WAM,ESR,4857.2,5215.925,5574.65,5933.375,6292.1,6168.42,6044.74,5921.06,5797.38,5673.7,5616.5,5559.3,5502.1,5444.9,5387.7,5402.4,5417.1,5431.8,5446.5,5461.2,5474.02,5486.84,5499.66,5512.48,5525.3,5502.94,5480.58,5458.22,5435.86,5413.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.B. Fugitive emissions from fuels,WAM,ETS,850.7,929.7,1008.7,1087.7,1166.7,1150.52,1134.34,1118.16,1101.98,1085.8,1094.42,1103.04,1111.66,1120.28,1128.9,1136.46,1144.02,1151.58,1159.14,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.B. Fugitive emissions from fuels,WAM,Total,5708.0,6145.7,6583.4,7021.1,7458.8,7318.94,7179.08,7039.22,6899.36,6759.5,6710.92,6662.34,6613.76,6565.18,6516.6,6538.86,6561.12,6583.38,6605.64,6627.9,6640.74,6653.58,6666.42,6679.26,6692.1,6669.74,6647.38,6625.02,6602.66,6580.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.B. Fugitive emissions from fuels,WEM,ESR,4857.2,5215.925,5574.65,5933.375,6292.1,6168.42,6044.74,5921.06,5797.38,5673.7,5616.5,5559.3,5502.1,5444.9,5387.7,5402.4,5417.1,5431.8,5446.5,5461.2,5474.02,5486.84,5499.66,5512.48,5525.3,5502.94,5480.58,5458.22,5435.86,5413.5,4857.21758673482,6292.08938004196,,,,,5673.73571243105,,,,,5387.68587028393,,,,,5461.19717248007,,,,,5525.33746826101,,,,,5413.54104015149
1.B. Fugitive emissions from fuels,WEM,ETS,850.7,929.7,1008.7,1087.7,1166.7,1150.52,1134.34,1118.16,1101.98,1085.8,1094.42,1103.04,1111.66,1120.28,1128.9,1136.46,1144.02,1151.58,1159.14,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,1166.7,850.73254647493,1166.71410527033,,,,,1085.79388188124,,,,,1128.93057202836,,,,,1166.71426083222,,,,,1166.71418305128,,,,,1166.7141441608
1.B. Fugitive emissions from fuels,WEM,Total,5708.0,6145.7,6583.4,7021.1,7458.8,7318.94,7179.08,7039.22,6899.36,6759.5,6710.92,6662.34,6613.76,6565.18,6516.6,6538.86,6561.12,6583.38,6605.64,6627.9,6640.74,6653.58,6666.42,6679.26,6692.1,6669.74,6647.38,6625.02,6602.66,6580.3,5707.95013320975,7458.80348531229,,,,,6759.52959431229,,,,,6516.61644231229,,,,,6627.91143331229,,,,,6692.05165131229,,,,,6580.25518431229
2. Industrial processes,WAM,ESR,17609.3,17050.85,16492.4,15933.95,15375.5,14663.0,13950.5,13238.0,12525.5,11813.0,11185.02,10557.04,9929.06,9301.08,8673.1,8415.7,8158.3,7900.9,7643.5,7386.1,7232.7,7079.3,6925.9,6772.5,6619.1,6519.78,6420.46,6321.14,6221.82,6122.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Industrial processes,WAM,ETS,14242.8,16002.25,17761.7,19521.15,21280.6,21240.32,21200.04,21159.76,21119.48,21079.2,21149.76,21220.32,21290.88,21361.44,21432.0,21545.64,21659.28,21772.92,21886.56,22000.2,22388.22,22776.24,23164.26,23552.28,23940.3,24626.08,25311.86,25997.64,26683.42,27369.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Industrial processes,WAM,Total,31852.1,33053.1,34254.1,35455.1,36656.1,35903.34,35150.58,34397.82,33645.06,32892.3,32334.86,31777.42,31219.98,30662.54,30105.1,29961.32,29817.54,29673.76,29529.98,29386.2,29620.84,29855.48,30090.12,30324.76,30559.4,31145.84,31732.28,32318.72,32905.16,33491.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Industrial processes,WEM,ESR,17609.3,17050.85,16492.4,15933.95,15375.5,14663.0,13950.5,13238.0,12525.5,11813.0,11185.02,10557.04,9929.06,9301.08,8673.1,8415.7,8158.3,7900.9,7643.5,7386.1,7232.7,7079.3,6925.9,6772.5,6619.1,6519.78,6420.46,6321.14,6221.82,6122.5,17609.3435802544,15375.5053836415,,,,,11813.0431336083,,,,,8673.05792746443,,,,,7386.05432380502,,,,,6619.10346998977,,,,,6122.45753398969
2. Industrial processes,WEM,ETS,14242.8,16002.25,17761.7,19521.15,21280.6,21240.32,21200.04,21159.76,21119.48,21079.2,21149.76,21220.32,21290.88,21361.44,21432.0,21545.64,21659.28,21772.92,21886.56,22000.2,22388.22,22776.24,23164.26,23552.28,23940.3,24626.08,25311.86,25997.64,26683.42,27369.2,14242.77,21280.6306170621,,,,,21079.2332841485,,,,,21432.0298265101,,,,,22000.1543847016,,,,,23940.2512739895,,,,,27369.1512057354
2. Industrial processes,WEM,Total,31852.1,33053.1,34254.1,35455.1,36656.1,35903.34,35150.58,34397.82,33645.06,32892.3,32334.86,31777.42,31219.98,30662.54,30105.1,29961.32,29817.54,29673.76,29529.98,29386.2,29620.84,29855.48,30090.12,30324.76,30559.4,31145.84,31732.28,32318.72,32905.16,33491.6,31852.1135802544,36656.1360007036,,,,,32892.2764177568,,,,,30105.0877539746,,,,,29386.2087085066,,,,,30559.3547439793,,,,,33491.6087397251
3. Agriculture,WAM,ESR,32717.2,32589.85,32462.5,32335.15,32207.8,32079.9,31952.0,31824.1,31696.2,31568.3,31442.86,31317.42,31191.98,31066.54,30941.1,30675.44,30409.78,30144.12,29878.46,29612.8,29586.36,29559.92,29533.48,29507.04,29480.6,29423.42,29366.24,29309.06,29251.88,29194.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Agriculture,WAM,Total,32717.2,32589.85,32462.5,32335.15,32207.8,32079.9,31952.0,31824.1,31696.2,31568.3,31442.86,31317.42,31191.98,31066.54,30941.1,30675.44,30409.78,30144.12,29878.46,29612.8,29586.36,29559.92,29533.48,29507.04,29480.6,29423.42,29366.24,29309.06,29251.88,29194.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Agriculture,WEM,ESR,32717.2,32589.85,32462.5,32335.15,32207.8,32079.9,31952.0,31824.1,31696.2,31568.3,31442.86,31317.42,31191.98,31066.54,30941.1,30675.44,30409.78,30144.12,29878.46,29612.8,29586.36,29559.92,29533.48,29507.04,29480.6,29423.42,29366.24,29309.06,29251.88,29194.7,32717.2154469888,32207.7963802389,,,,,31568.3372580398,,,,,30941.1222254646,,,,,29612.8481574508,,,,,29480.6371900363,,,,,29194.6519489971
3. Agriculture,WEM,Total,32717.2,32589.85,32462.5,32335.15,32207.8,32079.9,31952.0,31824.1,31696.2,31568.3,31442.86,31317.42,31191.98,31066.54,30941.1,30675.44,30409.78,30144.12,29878.46,29612.8,29586.36,29559.92,29533.48,29507.04,29480.6,29423.42,29366.24,29309.06,29251.88,29194.7,32717.2154469888,32207.7963802389,,,,,31568.3372580398,,,,,30941.1222254646,,,,,29612.8481574508,,,,,29480.6371900363,,,,,29194.6519489971
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WAM,Total,-27493.3,-29096.15,-30699.0,-32301.85,-33904.7,-34110.62,-34316.54,-34522.46,-34728.38,-34934.3,-33862.68,-32791.06,-31719.44,-30647.82,-29576.2,-30966.28,-32356.36,-33746.44,-35136.52,-36526.6,-36485.9,-36445.2,-36404.5,-36363.8,-36323.1,-36282.38,-36241.66,-36200.94,-36160.22,-36119.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Land Use, Land-Use Change and Forestry (LULUCF, reported emissions and removals) (9)",WEM,Total,-27493.3,-29096.15,-30699.0,-32301.85,-33904.7,-34110.62,-34316.54,-34522.46,-34728.38,-34934.3,-33862.68,-32791.06,-31719.44,-30647.82,-29576.2,-30966.28,-32356.36,-33746.44,-35136.52,-36526.6,-36485.9,-36445.2,-36404.5,-36363.8,-36323.1,-36282.38,-36241.66,-36200.94,-36160.22,-36119.5,-27493.2604627384,-33904.7461624933,,,,,-34934.292694957,,,,,-29576.1883281035,,,,,-36526.645912594,,,,,-36323.0889140333,,,,,-36119.5319154726
4.A. Forest land,WAM,Total,-27766.3,-29484.375,-31202.45,-32920.525,-34638.6,-34880.36,-35122.12,-35363.88,-35605.64,-35847.4,-36011.7,-36176.0,-36340.3,-36504.6,-36668.9,-36647.38,-36625.86,-36604.34,-36582.82,-36561.3,-36545.38,-36529.46,-36513.54,-36497.62,-36481.7,-36465.76,-36449.82,-36433.88,-36417.94,-36402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.A. Forest land,WEM,Total,-27766.3,-29484.375,-31202.45,-32920.525,-34638.6,-34880.36,-35122.12,-35363.88,-35605.64,-35847.4,-36011.7,-36176.0,-36340.3,-36504.6,-36668.9,-36647.38,-36625.86,-36604.34,-36582.82,-36561.3,-36545.38,-36529.46,-36513.54,-36497.62,-36481.7,-36465.76,-36449.82,-36433.88,-36417.94,-36402.0,-27766.296961445,-34638.6322288782,,,,,-35847.3720474678,,,,,-36668.906454434,,,,,-36561.3343427759,,,,,-36481.6914012412,,,,,-36402.0484597066
