Country,household price $/kWh,business price $/kWh,average price $/kWh,Source (2022 data): 
Canada,0.12,0.098,0.109,https://www.globalpetrolprices.com/electricity_prices/
Cape Verde,0.302,0.193,0.2475,https://www.globalpetrolprices.com/electricity_prices/
Cayman Islands,0.444,0.432,0.438,https://www.globalpetrolprices.com/electricity_prices/
Chile,0.194,0.136,0.165,https://www.globalpetrolprices.com/electricity_prices/
China,0.078,0.089,0.0835,https://www.globalpetrolprices.com/electricity_prices/
Colombia,0.167,0.162,0.1645,https://www.globalpetrolprices.com/electricity_prices/
Costa Rica,0.16,0.213,0.1865,https://www.globalpetrolprices.com/electricity_prices/
Cuba,0.03,-,0.03,https://www.globalpetrolprices.com/electricity_prices/
Cyprus,0.378,0.389,0.3835,https://www.globalpetrolprices.com/electricity_prices/
Czech Republic,0.446,0.45,0.448,https://www.globalpetrolprices.com/electricity_prices/
DMR Congo,0.07,0.082,0.076,https://www.globalpetrolprices.com/electricity_prices/
Denmark,0.572,0.406,0.489,https://www.globalpetrolprices.com/electricity_prices/
Dominican Republic,0.125,0.186,0.1555,https://www.globalpetrolprices.com/electricity_prices/
Ecuador,0.096,0.09,0.093,https://www.globalpetrolprices.com/electricity_prices/
Egypt,0.027,0.037,0.032,https://www.globalpetrolprices.com/electricity_prices/
El Salvador,0.24,0.2,0.22,https://www.globalpetrolprices.com/electricity_prices/
Estonia,0.389,0.227,0.308,https://www.globalpetrolprices.com/electricity_prices/
Ethiopia,0.006,0.022,0.014,https://www.globalpetrolprices.com/electricity_prices/
Finland,0.451,0.194,0.3225,https://www.globalpetrolprices.com/electricity_prices/
France,0.216,0.335,0.2755,https://www.globalpetrolprices.com/electricity_prices/
Gabon,0.202,-,0.202,https://www.globalpetrolprices.com/electricity_prices/
Georgia,0.077,0.115,0.096,https://www.globalpetrolprices.com/electricity_prices/
Germany,0.55,0.766,0.658,https://www.globalpetrolprices.com/electricity_prices/
Ghana,0.033,0.071,0.052,https://www.globalpetrolprices.com/electricity_prices/
Greece,0.27,0.227,0.2485,https://www.globalpetrolprices.com/electricity_prices/
Guatemala,0.281,0.176,0.2285,https://www.globalpetrolprices.com/electricity_prices/
Honduras,0.233,0.235,0.234,https://www.globalpetrolprices.com/electricity_prices/
Hong Kong,0.172,0.167,0.1695,https://www.globalpetrolprices.com/electricity_prices/
Hungary,0.115,0.149,0.132,https://www.globalpetrolprices.com/electricity_prices/
Iceland,0.148,0.068,0.108,https://www.globalpetrolprices.com/electricity_prices/
India,0.074,0.104,0.089,https://www.globalpetrolprices.com/electricity_prices/
Indonesia,0.097,0.075,0.086,https://www.globalpetrolprices.com/electricity_prices/
Iran,0.002,-,0.002,https://www.globalpetrolprices.com/electricity_prices/
Iraq,0.015,0.046,0.0305,https://www.globalpetrolprices.com/electricity_prices/
Ireland,0.421,-,0.421,https://www.globalpetrolprices.com/electricity_prices/
Israel,0.163,0.14,0.1515,https://www.globalpetrolprices.com/electricity_prices/
Italy,0.572,0.55,0.561,https://www.globalpetrolprices.com/electricity_prices/
Ivory Coast,0.119,0.203,0.161,https://www.globalpetrolprices.com/electricity_prices/
Jamaica,0.326,0.285,0.3055,https://www.globalpetrolprices.com/electricity_prices/
Japan,0.249,0.211,0.23,https://www.globalpetrolprices.com/electricity_prices/
Jordan,0.09,0.123,0.1065,https://www.globalpetrolprices.com/electricity_prices/
Kazakhstan,0.045,0.059,0.052,https://www.globalpetrolprices.com/electricity_prices/
Kenya,0.157,0.128,0.1425,https://www.globalpetrolprices.com/electricity_prices/
Kuwait,0.029,0.065,0.047,https://www.globalpetrolprices.com/electricity_prices/
Kyrgyzstan,0.01,0.032,0.021,https://www.globalpetrolprices.com/electricity_prices/
Laos,0.033,-,0.033,https://www.globalpetrolprices.com/electricity_prices/
Latvia,0.313,0.335,0.324,https://www.globalpetrolprices.com/electricity_prices/
Lebanon,0.001,0.001,0.001,https://www.globalpetrolprices.com/electricity_prices/
Lesotho,0.092,0.019,0.0555,https://www.globalpetrolprices.com/electricity_prices/
Libya,0.01,0.041,0.0255,https://www.globalpetrolprices.com/electricity_prices/
Liechtenstein,0.287,0.188,0.2375,https://www.globalpetrolprices.com/electricity_prices/
Lithuania,0.496,0.464,0.48,https://www.globalpetrolprices.com/electricity_prices/
Luxembourg,0.237,0.14,0.1885,https://www.globalpetrolprices.com/electricity_prices/
Macao,0.158,0.164,0.161,https://www.globalpetrolprices.com/electricity_prices/
Madagascar,0.129,0.098,0.1135,https://www.globalpetrolprices.com/electricity_prices/
Malawi,0.11,0.153,0.1315,https://www.globalpetrolprices.com/electricity_prices/
Malaysia,0.048,0.096,0.072,https://www.globalpetrolprices.com/electricity_prices/
Maldives,0.15,-,0.15,https://www.globalpetrolprices.com/electricity_prices/
Mali,0.216,0.156,0.186,https://www.globalpetrolprices.com/electricity_prices/
Malta,0.145,0.162,0.1535,https://www.globalpetrolprices.com/electricity_prices/
Mauritius,0.131,0.117,0.124,https://www.globalpetrolprices.com/electricity_prices/
Mexico,0.104,0.206,0.155,https://www.globalpetrolprices.com/electricity_prices/
Moldova,0.149,0.13,0.1395,https://www.globalpetrolprices.com/electricity_prices/
Morocco,0.115,0.105,0.11,https://www.globalpetrolprices.com/electricity_prices/
Mozambique,0.127,0.08,0.1035,https://www.globalpetrolprices.com/electricity_prices/
Namibia,0.108,-,0.108,https://www.globalpetrolprices.com/electricity_prices/
Nepal,0.044,0.07,0.057,https://www.globalpetrolprices.com/electricity_prices/
Netherlands,0.486,0.669,0.5775,https://www.globalpetrolprices.com/electricity_prices/
New Zealand,0.191,-,0.191,https://www.globalpetrolprices.com/electricity_prices/
Nicaragua,0.174,0.181,0.1775,https://www.globalpetrolprices.com/electricity_prices/
Nigeria,0.049,0.078,0.0635,https://www.globalpetrolprices.com/electricity_prices/
N. Macedonia,0.116,0.259,0.1875,https://www.globalpetrolprices.com/electricity_prices/
Norway,0.13,0.205,0.1675,https://www.globalpetrolprices.com/electricity_prices/
Oman,0.026,0.156,0.091,https://www.globalpetrolprices.com/electricity_prices/
Pakistan,0.045,0.146,0.0955,https://www.globalpetrolprices.com/electricity_prices/
Panama,0.18,0.19,0.185,https://www.globalpetrolprices.com/electricity_prices/
Paraguay,0.055,0.046,0.0505,https://www.globalpetrolprices.com/electricity_prices/
Peru,0.242,0.171,0.2065,https://www.globalpetrolprices.com/electricity_prices/
Philippines,0.175,0.148,0.1615,https://www.globalpetrolprices.com/electricity_prices/
Poland,0.19,0.407,0.2985,https://www.globalpetrolprices.com/electricity_prices/
Portugal,0.291,0.205,0.248,https://www.globalpetrolprices.com/electricity_prices/
Qatar,0.033,0.036,0.0345,https://www.globalpetrolprices.com/electricity_prices/
Romania,0.174,0.218,0.196,https://www.globalpetrolprices.com/electricity_prices/
Russia,0.06,0.087,0.0735,https://www.globalpetrolprices.com/electricity_prices/
Rwanda,0.226,0.084,0.155,https://www.globalpetrolprices.com/electricity_prices/
Saudi Arabia,0.048,0.069,0.0585,https://www.globalpetrolprices.com/electricity_prices/
Senegal,0.17,-,0.17,https://www.globalpetrolprices.com/electricity_prices/
Serbia,0.104,0.112,0.108,https://www.globalpetrolprices.com/electricity_prices/
Sierra Leone,0.082,0.109,0.0955,https://www.globalpetrolprices.com/electricity_prices/
Singapore,0.238,0.268,0.253,https://www.globalpetrolprices.com/electricity_prices/
Slovakia,0.205,0.364,0.2845,https://www.globalpetrolprices.com/electricity_prices/
Slovenia,0.291,0.183,0.237,https://www.globalpetrolprices.com/electricity_prices/
S. Africa,0.149,0.071,0.11,https://www.globalpetrolprices.com/electricity_prices/
S. Korea,0.101,0.099,0.1,https://www.globalpetrolprices.com/electricity_prices/
Spain,0.367,0.237,0.302,https://www.globalpetrolprices.com/electricity_prices/
Sri Lanka,0.05,0.106,0.078,https://www.globalpetrolprices.com/electricity_prices/
Sudan,0.008,0.044,0.026,https://www.globalpetrolprices.com/electricity_prices/
Suriname,0.016,-,0.016,https://www.globalpetrolprices.com/electricity_prices/
Swaziland,0.097,0.062,0.0795,https://www.globalpetrolprices.com/electricity_prices/
Sweden,0.352,-,0.352,https://www.globalpetrolprices.com/electricity_prices/
Switzerland,0.232,0.177,0.2045,https://www.globalpetrolprices.com/electricity_prices/
Syria,0.005,0.015,0.01,https://www.globalpetrolprices.com/electricity_prices/
Taiwan,0.096,0.125,0.1105,https://www.globalpetrolprices.com/electricity_prices/
Tanzania,0.097,0.099,0.098,https://www.globalpetrolprices.com/electricity_prices/
Thailand,0.121,0.119,0.12,https://www.globalpetrolprices.com/electricity_prices/
Togo,0.191,0.176,0.1835,https://www.globalpetrolprices.com/electricity_prices/
Trinidad & Tobago,0.052,0.053,0.0525,https://www.globalpetrolprices.com/electricity_prices/
Tunisia,0.068,0.109,0.0885,https://www.globalpetrolprices.com/electricity_prices/
Turkey,0.073,0.216,0.1445,https://www.globalpetrolprices.com/electricity_prices/
UAE,0.079,0.11,0.0945,https://www.globalpetrolprices.com/electricity_prices/
Uganda,0.163,0.118,0.1405,https://www.globalpetrolprices.com/electricity_prices/
Ukraine,0.039,0.087,0.063,https://www.globalpetrolprices.com/electricity_prices/
UK,0.416,0.341,0.3785,https://www.globalpetrolprices.com/electricity_prices/
USA,0.18,0.15,0.165,https://www.globalpetrolprices.com/electricity_prices/
Uruguay,0.245,0.117,0.181,https://www.globalpetrolprices.com/electricity_prices/
Uzbekistan,0.026,0.052,0.039,https://www.globalpetrolprices.com/electricity_prices/
Venezuela,0.045,0.053,0.049,https://www.globalpetrolprices.com/electricity_prices/
Vietnam,0.08,0.075,0.0775,https://www.globalpetrolprices.com/electricity_prices/
Zambia,0.029,0.045,0.037,https://www.globalpetrolprices.com/electricity_prices/
Zimbabwe,0.015,-,0.015,https://www.globalpetrolprices.com/electricity_prices/
